node_id1 node_id2 t label
50755 14708 6 Authoring
50756 14709 6 Authoring
50757 14709 6 Authoring
50758 14709 6 Authoring
50759 14709 6 Authoring
50760 14709 6 Authoring
50761 14709 6 Authoring
50762 14709 6 Authoring
50763 14709 6 Authoring
50764 14710 6 Authoring
50765 14710 6 Authoring
20811 14711 6 Authoring
50767 14711 6 Authoring
20812 14711 6 Authoring
20813 14711 6 Authoring
50770 14712 6 Authoring
50771 14712 6 Authoring
17006 14712 6 Authoring
50773 14713 6 Authoring
16818 14713 6 Authoring
16815 14713 6 Authoring
50776 14714 6 Authoring
16932 14714 6 Authoring
50778 14714 6 Authoring
50377 14714 6 Authoring
50353 14715 6 Authoring
50781 14715 6 Authoring
50355 14715 6 Authoring
50783 14716 6 Authoring
50784 14716 6 Authoring
21520 14716 6 Authoring
50786 14716 6 Authoring
50787 14717 6 Authoring
50788 14717 6 Authoring
50789 14717 6 Authoring
50790 14718 6 Authoring
50791 14718 6 Authoring
50792 14718 6 Authoring
50793 14718 6 Authoring
19162 14718 6 Authoring
50339 14563 7 Authoring
50340 14563 7 Authoring
50341 14563 7 Authoring
50342 14564 7 Authoring
19197 14564 7 Authoring
50344 14565 7 Authoring
19213 14565 7 Authoring
20827 14565 7 Authoring
50347 14566 7 Authoring
50348 14566 7 Authoring
49986 14567 7 Authoring
20742 14567 7 Authoring
50351 14568 7 Authoring
20131 14568 7 Authoring
50353 14569 7 Authoring
50354 14569 7 Authoring
50355 14569 7 Authoring
50356 14570 7 Authoring
50357 14570 7 Authoring
19197 14570 7 Authoring
17014 14570 7 Authoring
19270 14570 7 Authoring
50361 14571 7 Authoring
50362 14571 7 Authoring
20842 14571 7 Authoring
50364 14571 7 Authoring
50365 14572 7 Authoring
50366 14572 7 Authoring
50367 14573 7 Authoring
50368 14573 7 Authoring
48021 14573 7 Authoring
50370 14574 7 Authoring
50371 14574 7 Authoring
19203 14574 7 Authoring
50373 14575 7 Authoring
19238 14575 7 Authoring
50375 14576 7 Authoring
16932 14576 7 Authoring
50377 14576 7 Authoring
50378 14577 7 Authoring
48019 14577 7 Authoring
50380 14577 7 Authoring
